,user_name,text,lowercase,unwanted_spaces,urls,html_encodings,usernames,pne,three_characters,stopwords,tokenize,lemmatize,duplicate,clean_text
0,GinaMcGalliard 🧜🏻‍♀️🌹🌕,"With not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. It’s why Derangers are always harping about Kate being called “The Duchess of Cambridge.” #princewilliamaffair https://t.co/B5bTJmLNNU","with not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. it’s why derangers are always harping about kate being called “the duchess of cambridge.” #princewilliamaffair https://t.co/b5btjmlnnu","with not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. it’s why derangers are always harping about kate being called “the duchess of cambridge.” #princewilliamaffair https://t.co/b5btjmlnnu","with not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. it’s why derangers are always harping about kate being called “the duchess of cambridge.” #princewilliamaffair ","with not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. it’s why derangers are always harping about kate being called “the duchess of cambridge.” #princewilliamaffair ","with not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. it’s why derangers are always harping about kate being called “the duchess of cambridge.” #princewilliamaffair ",with not an ounce of charisma  brain cells  work ethic or human decency between them  indeed all they have to prop them up is their titles and proximity to the throne  it s why derangers are always harping about kate being called  the duchess of cambridge    princewilliamaffair ,with ounce charisma brain cells work ethic human decency between them indeed they have prop them their titles proximity throne derangers always harping about kate being called duchess cambridge princewilliamaffair,ounce charisma brain cells work ethic human decency indeed prop titles proximity throne derangers always harping kate called duchess cambridge princewilliamaffair,"['ounce', 'charisma', 'brain', 'cells', 'work', 'ethic', 'human', 'decency', 'indeed', 'prop', 'titles', 'proximity', 'throne', 'derangers', 'always', 'harping', 'kate', 'called', 'duchess', 'cambridge', 'princewilliamaffair']",ounce charisma brain cell work ethic human decency indeed prop title proximity throne derangers always harp kate call duchess cambridge princewilliamaffair,ounce charisma brain cell work ethic human decency indeed prop title proximity throne derangers always harp kate call duchess cambridge princewilliamaffair,ounce charisma brain cell work ethic human decency indeed prop title proximity throne derangers always harp kate call duchess cambridge princewilliamaffair
1,Troy Spencer,RT @Carol36994460: @ntsikasaunty @MirrorRoyal #princecharlecashforhonours  deadbeat father who stopped his security when he needed it most…,rt @carol36994460: @ntsikasaunty @mirrorroyal #princecharlecashforhonours  deadbeat father who stopped his security when he needed it most…,rt @carol36994460: @ntsikasaunty @mirrorroyal #princecharlecashforhonours deadbeat father who stopped his security when he needed it most…,rt @carol36994460: @ntsikasaunty @mirrorroyal #princecharlecashforhonours deadbeat father who stopped his security when he needed it most…,rt @carol36994460: @ntsikasaunty @mirrorroyal #princecharlecashforhonours deadbeat father who stopped his security when he needed it most…,rt :   #princecharlecashforhonours deadbeat father who stopped his security when he needed it most…,rt      princecharlecashforhonours deadbeat father who stopped his security when he needed it most ,princecharlecashforhonours deadbeat father stopped security when needed most,princecharlecashforhonours deadbeat father stopped security needed,"['princecharlecashforhonours', 'deadbeat', 'father', 'stopped', 'security', 'needed']",princecharlecashforhonours deadbeat father stop security need,princecharlecashforhonours deadbeat father stop security need,princecharlecashforhonours deadbeat father stop security need
2,Marie Bloomer,"RT @KeenKweenKate: The Future Future King adores his uncle, Noncy Drew! Being scumbags must run in the family.

#PrinceAndrew #PrinceWillia…","rt @keenkweenkate: the future future king adores his uncle, noncy drew! being scumbags must run in the family.

#princeandrew #princewillia…","rt @keenkweenkate: the future future king adores his uncle, noncy drew! being scumbags must run in the family. #princeandrew #princewillia…","rt @keenkweenkate: the future future king adores his uncle, noncy drew! being scumbags must run in the family. #princeandrew #princewillia…","rt @keenkweenkate: the future future king adores his uncle, noncy drew! being scumbags must run in the family. #princeandrew #princewillia…","rt : the future future king adores his uncle, noncy drew! being scumbags must run in the family. #princeandrew #princewillia…",rt   the future future king adores his uncle  noncy drew  being scumbags must run in the family   princeandrew  princewillia ,future future king adores uncle noncy drew being scumbags must family princeandrew princewillia,future future king adores uncle noncy drew scumbags must family princeandrew princewillia,"['future', 'future', 'king', 'adores', 'uncle', 'noncy', 'drew', 'scumbags', 'must', 'family', 'princeandrew', 'princewillia']",future future king adore uncle noncy draw scumbags must family princeandrew princewillia,future king adore uncle noncy draw scumbags must family princeandrew princewillia,future king adore uncle noncy draw scumbags must family princeandrew princewillia
3,Marie Bloomer,"RT @willina_m: 2022 is the year of FO in FAFO for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…","rt @willina_m: 2022 is the year of fo in fafo for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…","rt @willina_m: 2022 is the year of fo in fafo for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…","rt @willina_m: 2022 is the year of fo in fafo for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…","rt @willina_m: 2022 is the year of fo in fafo for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…","rt _m: 2022 is the year of fo in fafo for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…",rt  m       is the year of fo in fafo for the british royal   racist  pedophiles  scamsters  family who gleefully targetted an inno ,year fafo british royal racist pedophiles scamsters family gleefully targetted inno,year fafo british royal racist pedophiles scamsters family gleefully targetted inno,"['year', 'fafo', 'british', 'royal', 'racist', 'pedophiles', 'scamsters', 'family', 'gleefully', 'targetted', 'inno']",year fafo british royal racist pedophile scamsters family gleefully targetted inno,year fafo british royal racist pedophile scamsters family gleefully targetted inno,year fafo british royal racist pedophile scamsters family gleefully targetted inno
4,Marie Bloomer,"RT @tennisfanv3: Distractions
#princewilliamaffair
#abolishthemonarchy","rt @tennisfanv3: distractions
#princewilliamaffair
#abolishthemonarchy",rt @tennisfanv3: distractions #princewilliamaffair #abolishthemonarchy,rt @tennisfanv3: distractions #princewilliamaffair #abolishthemonarchy,rt @tennisfanv3: distractions #princewilliamaffair #abolishthemonarchy,rt : distractions #princewilliamaffair #abolishthemonarchy,rt   distractions  princewilliamaffair  abolishthemonarchy,distractions princewilliamaffair abolishthemonarchy,distractions princewilliamaffair abolishthemonarchy,"['distractions', 'princewilliamaffair', 'abolishthemonarchy']",distraction princewilliamaffair abolishthemonarchy,distraction princewilliamaffair abolishthemonarchy,distraction princewilliamaffair abolishthemonarchy
5,Marie Bloomer,"RT @KeenKweenKate: Kkkate: Yes, a flowy skirt. I won't wear anything underneath and the wind will do its job. Anyways, I'm off to my botox…","rt @keenkweenkate: kkkate: yes, a flowy skirt. i won't wear anything underneath and the wind will do its job. anyways, i'm off to my botox…","rt @keenkweenkate: kkkate: yes, a flowy skirt. i won't wear anything underneath and the wind will do its job. anyways, i'm off to my botox…","rt @keenkweenkate: kkkate: yes, a flowy skirt. i won't wear anything underneath and the wind will do its job. anyways, i'm off to my botox…","rt @keenkweenkate: kkkate: yes, a flowy skirt. i won't wear anything underneath and the wind will do its job. anyways, i'm off to my botox…","rt : kkkate: yes, a flowy skirt. i won't wear anything underneath and the wind will do its job. anyways, i'm off to my botox…",rt   kkkate  yes  a flowy skirt  i won t wear anything underneath and the wind will do its job  anyways  i m off to my botox ,kkkate flowy skirt wear anything underneath wind will anyways botox,kkkate flowy skirt wear anything underneath wind anyways botox,"['kkkate', 'flowy', 'skirt', 'wear', 'anything', 'underneath', 'wind', 'anyways', 'botox']",kkkate flowy skirt wear anything underneath wind anyways botox,kkkate flowy skirt wear anything underneath wind anyways botox,kkkate flowy skirt wear anything underneath wind anyways botox
6,Marie Bloomer,RT @duchessmeghanx: Isn't the #DailyFail tired of getting fed false information by the palace &amp; #princewilliamaffair ? This statement from…,rt @duchessmeghanx: isn't the #dailyfail tired of getting fed false information by the palace &amp; #princewilliamaffair ? this statement from…,rt @duchessmeghanx: isn't the #dailyfail tired of getting fed false information by the palace &amp; #princewilliamaffair ? this statement from…,rt @duchessmeghanx: isn't the #dailyfail tired of getting fed false information by the palace &amp; #princewilliamaffair ? this statement from…,rt @duchessmeghanx: isn't the #dailyfail tired of getting fed false information by the palace &amp; #princewilliamaffair ? this statement from…,rt : isn't the #dailyfail tired of getting fed false information by the palace &amp; #princewilliamaffair ? this statement from…,rt   isn t the  dailyfail tired of getting fed false information by the palace  amp   princewilliamaffair   this statement from ,dailyfail tired getting false information palace princewilliamaffair this statement from,dailyfail tired getting false information palace princewilliamaffair statement,"['dailyfail', 'tired', 'getting', 'false', 'information', 'palace', 'princewilliamaffair', 'statement']",dailyfail tire get false information palace princewilliamaffair statement,dailyfail tire get false information palace princewilliamaffair statement,dailyfail tire get false information palace princewilliamaffair statement
7,Marie Bloomer,RT @Ces_gurl: Didn’t the #dailyfail stuff up printing another front page lie regarding the Sussexes 😂 when will they mind their own busines…,rt @ces_gurl: didn’t the #dailyfail stuff up printing another front page lie regarding the sussexes 😂 when will they mind their own busines…,rt @ces_gurl: didn’t the #dailyfail stuff up printing another front page lie regarding the sussexes 😂 when will they mind their own busines…,rt @ces_gurl: didn’t the #dailyfail stuff up printing another front page lie regarding the sussexes 😂 when will they mind their own busines…,rt @ces_gurl: didn’t the #dailyfail stuff up printing another front page lie regarding the sussexes 😂 when will they mind their own busines…,rt _gurl: didn’t the #dailyfail stuff up printing another front page lie regarding the sussexes 😂 when will they mind their own busines…,rt  gurl  didn t the  dailyfail stuff up printing another front page lie regarding the sussexes   when will they mind their own busines ,gurl didn dailyfail stuff printing another front page regarding sussexes when will they mind their busines,gurl dailyfail stuff printing another front page regarding sussexes mind busines,"['gurl', 'dailyfail', 'stuff', 'printing', 'another', 'front', 'page', 'regarding', 'sussexes', 'mind', 'busines']",gurl dailyfail stuff print another front page regard sussex mind busines,gurl dailyfail stuff print another front page regard sussex mind busines,gurl dailyfail stuff print another front page regard sussex mind busines
8,Marie Bloomer,"RT @tennisfanv3: Don’t forget
#PrinceAndrewSued
#PrinceAndrewTrial
#PrinceAndrew
#princewilliamaffair","rt @tennisfanv3: don’t forget
#princeandrewsued
#princeandrewtrial
#princeandrew
#princewilliamaffair",rt @tennisfanv3: don’t forget #princeandrewsued #princeandrewtrial #princeandrew #princewilliamaffair,rt @tennisfanv3: don’t forget #princeandrewsued #princeandrewtrial #princeandrew #princewilliamaffair,rt @tennisfanv3: don’t forget #princeandrewsued #princeandrewtrial #princeandrew #princewilliamaffair,rt : don’t forget #princeandrewsued #princeandrewtrial #princeandrew #princewilliamaffair,rt   don t forget  princeandrewsued  princeandrewtrial  princeandrew  princewilliamaffair,forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,"['forget', 'princeandrewsued', 'princeandrewtrial', 'princeandrew', 'princewilliamaffair']",forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair
9,Marie Bloomer,RT @JamaicaSussex: @CiciTee1 @FrodoKolo Nice try #princewilliamaffair https://t.co/ejR2pg1jp0,rt @jamaicasussex: @cicitee1 @frodokolo nice try #princewilliamaffair https://t.co/ejr2pg1jp0,rt @jamaicasussex: @cicitee1 @frodokolo nice try #princewilliamaffair https://t.co/ejr2pg1jp0,rt @jamaicasussex: @cicitee1 @frodokolo nice try #princewilliamaffair ,rt @jamaicasussex: @cicitee1 @frodokolo nice try #princewilliamaffair ,rt :   nice try #princewilliamaffair ,rt     nice try  princewilliamaffair ,nice princewilliamaffair,nice princewilliamaffair,"['nice', 'princewilliamaffair']",nice princewilliamaffair,nice princewilliamaffair,nice princewilliamaffair
