,idf_weights
aaa,11.105468752548317
aaaaaanndgummy,11.105468752548317
aaaagh,11.105468752548317
aaaawwwww,11.105468752548317
aaahhhh,11.105468752548317
aaand,10.412321571988372
aaanyyywhoooooooo,11.105468752548317
aaargh,10.700003644440153
aaarrrg,10.412321571988372
aac,11.105468752548317
aadhaar,10.189178020674163
aadi,11.105468752548317
aafb,11.105468752548317
aah,9.719174391428426
aakash,11.105468752548317
aarch,10.412321571988372
aardvark,10.412321571988372
aaren,11.105468752548317
aargh,11.105468752548317
aaron,10.006856463880208
aaronlocker,10.700003644440153
aarron,11.105468752548317
aawwhh,11.105468752548317
aaye,10.412321571988372
abandon,9.719174391428426
abap,9.313709283320263
abb,11.105468752548317
abbey,10.412321571988372
abbie,11.105468752548317
abbreviation,11.105468752548317
abbyy,9.852705784052949
abcde,11.105468752548317
abcdef,11.105468752548317
abcdefghelmi,10.700003644440153
abcdefghijklmnopqrstuvwxyz,11.105468752548317
abduct,11.105468752548317
abdurrahman,11.105468752548317
abe,11.105468752548317
abf,9.313709283320263
abfb,11.105468752548317
abide,11.105468752548317
abilit,10.700003644440153
ability,8.579740108240062
able,7.045025742001898
abnormal,11.105468752548317
abo,11.105468752548317
aboard,11.105468752548317
aboriginal,10.189178020674163
abortion,10.412321571988372
abou,11.105468752548317
abouht,11.105468752548317
abound,11.105468752548317
abour,11.105468752548317
aboustly,11.105468752548317
aboutt,11.105468752548317
abraham,10.189178020674163
abrams,11.105468752548317
abrilll,11.105468752548317
abroad,8.802883659554272
abs,11.105468752548317
absence,10.700003644440153
absitence,10.412321571988372
absol,11.105468752548317
absolute,10.412321571988372
absolutely,8.707573479749946
absorb,10.412321571988372
absurd,10.412321571988372
abt,10.006856463880208
abu,11.105468752548317
abundance,10.412321571988372
abusalma,11.105468752548317
abuse,7.969974536619167
abusewith,11.105468752548317
abusive,11.105468752548317
academic,10.412321571988372
academician,11.105468752548317
academy,9.496030840114217
acae,11.105468752548317
acaf,11.105468752548317
acai,11.105468752548317
acc,10.700003644440153
acce,11.105468752548317
accelerate,9.233666575646726
acceleration,9.496030840114217
accelerator,10.189178020674163
accent,9.601391355772043
accenture,11.105468752548317
accept,8.54051939508678
acceptable,10.189178020674163
acces,11.105468752548317
access,6.163826329939013
accessibility,8.215096994652153
accessible,10.006856463880208
accessmanagement,10.700003644440153
accident,8.965402589052047
accidentally,9.233666575646726
accidentaly,10.700003644440153
acclaim,11.105468752548317
acco,11.105468752548317
accolade,10.700003644440153
accommodate,11.105468752548317
accomplish,9.496030840114217
accomplishment,10.700003644440153
accord,8.364628728623117
accoun,10.412321571988372
account,6.475605953969854
accountability,9.719174391428426
accountable,10.189178020674163
accountbasedmarketing,10.700003644440153
accountt,11.105468752548317
accpet,11.105468752548317
acct,10.189178020674163
accumulate,11.105468752548317
accuracy,11.105468752548317
accurate,9.313709283320263
accurately,10.700003644440153
accuse,8.908244175212097
accustom,10.700003644440153
accutally,11.105468752548317
acd,10.189178020674163
ace,8.908244175212097
acebook,11.105468752548317
acer,10.189178020674163
acesso,11.105468752548317
acetate,11.105468752548317
ach,10.189178020674163
ache,10.189178020674163
achieve,9.159558603493004
achievement,9.601391355772043
achingly,11.105468752548317
acid,11.105468752548317
ack,9.159558603493004
acknowledge,10.006856463880208
acknowledgment,11.105468752548317
acl,10.006856463880208
acne,10.412321571988372
acontecendo,11.105468752548317
acoustic,11.105468752548317
acquaint,11.105468752548317
acquire,8.663121717179113
acquisition,8.908244175212097
acr,10.700003644440153
acre,10.412321571988372
acrobat,7.234267741640426
acronym,11.105468752548317
acrylic,11.105468752548317
acsd,10.700003644440153
act,7.550120691058903
actaully,11.105468752548317
actin,10.700003644440153
action,7.721078489202543
actiongeturl,10.189178020674163
actionpush,9.719174391428426
actionscript,9.496030840114217
activate,9.400720660309892
activation,8.54051939508678
activator,10.700003644440153
active,7.991953443337943
actively,8.215096994652153
activemq,10.700003644440153
activeshow,11.105468752548317
activesync,11.105468752548317
activetouch,11.105468752548317
activex,10.189178020674163
activision,11.105468752548317
activist,9.852705784052949
activity,7.847372214526835
acto,10.700003644440153
actor,8.54051939508678
actress,11.105468752548317
acttin,11.105468752548317
actual,8.802883659554272
actually,6.633829959184748
actualy,11.105468752548317
actvities,11.105468752548317
acunetix,11.105468752548317
acutely,11.105468752548317
acuzam,10.412321571988372
ada,11.105468752548317
adam,9.026027210868481
adamar,10.412321571988372
adangta,11.105468752548317
adapt,9.719174391428426
adaptability,11.105468752548317
adaptable,11.105468752548317
adapter,9.400720660309892
adaptive,9.313709283320263
adaptivemicrosegmentation,11.105468752548317
adarsh,11.105468752548317
adblock,11.105468752548317
adblocker,10.700003644440153
adblocking,10.189178020674163
adc,10.006856463880208
adchifying,10.412321571988372
add,6.081588231702041
adddworduserproperty,10.700003644440153
addict,9.159558603493004
addiction,10.412321571988372
addictive,10.412321571988372
addies,11.105468752548317
addition,9.719174391428426
additional,9.601391355772043
addon,10.700003644440153
addons,10.412321571988372
addr,11.105468752548317
address,6.8357713028483555
addressbar,11.105468752548317
addrtoname,11.105468752548317
addy,11.105468752548317
adecd,11.105468752548317
adedd,11.105468752548317
adeputs,11.105468752548317
adequate,11.105468752548317
adfreak,11.105468752548317
adgholas,10.189178020674163
adguard,11.105468752548317
adhd,11.105468752548317
adhia,11.105468752548317
adhocqueryexportprocessing,11.105468752548317
adidas,10.006856463880208
adium,11.105468752548317
adjust,10.700003644440153
adjustment,10.412321571988372
adm,10.006856463880208
admi,11.105468752548317
admin,7.062417484713767
adminbypass,10.700003644440153
administration,9.496030840114217
administrative,8.75409349538484
