,Unnamed: 0,user_name,text,clean_text,tx_len,dc_len,Num_words_ST,Num_word_text,compound,neg,neu,pos,st
0,0,GinaMcGalliard 🧜🏻‍♀️🌹🌕,"With not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. It’s why Derangers are always harping about Kate being called “The Duchess of Cambridge.” #princewilliamaffair https://t.co/B5bTJmLNNU",ounce charisma brain cell work ethic human decency indeed prop title proximity throne derangers always harp kate call duchess cambridge princewilliamaffair,302,155,21,47,0.0,0.0,100.0,0.0,2
1,1,Troy Spencer,RT @Carol36994460: @ntsikasaunty @MirrorRoyal #princecharlecashforhonours  deadbeat father who stopped his security when he needed it most…,princecharlecashforhonours deadbeat father stop security need,139,61,6,16,5.16,25.6,46.5,27.900000000000002,1
2,2,Marie Bloomer,"RT @KeenKweenKate: The Future Future King adores his uncle, Noncy Drew! Being scumbags must run in the family.

#PrinceAndrew #PrinceWillia…",future king adore uncle noncy draw scumbags must family princeandrew princewillia,140,81,11,20,55.74,0.0,73.5,26.5,1
3,3,Marie Bloomer,"RT @willina_m: 2022 is the year of FO in FAFO for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…",year fafo british royal racist pedophile scamsters family gleefully targetted inno,140,82,11,24,-61.24000000000001,28.599999999999998,71.39999999999999,0.0,0
4,4,Marie Bloomer,"RT @tennisfanv3: Distractions
#princewilliamaffair
#abolishthemonarchy",distraction princewilliamaffair abolishthemonarchy,70,50,3,5,-38.18,56.49999999999999,43.5,0.0,0
5,5,Marie Bloomer,"RT @KeenKweenKate: Kkkate: Yes, a flowy skirt. I won't wear anything underneath and the wind will do its job. Anyways, I'm off to my botox…",kkkate flowy skirt wear anything underneath wind anyways botox,139,62,9,25,0.0,0.0,100.0,0.0,2
6,6,Marie Bloomer,RT @duchessmeghanx: Isn't the #DailyFail tired of getting fed false information by the palace &amp; #princewilliamaffair ? This statement from…,dailyfail tire get false information palace princewilliamaffair statement,143,73,8,20,0.0,0.0,100.0,0.0,2
7,7,Marie Bloomer,RT @Ces_gurl: Didn’t the #dailyfail stuff up printing another front page lie regarding the Sussexes 😂 when will they mind their own busines…,gurl dailyfail stuff print another front page regard sussex mind busines,140,72,11,23,0.0,0.0,100.0,0.0,2
8,8,Marie Bloomer,"RT @tennisfanv3: Don’t forget
#PrinceAndrewSued
#PrinceAndrewTrial
#PrinceAndrew
#princewilliamaffair",forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,101,74,5,8,-22.63,32.2,67.80000000000001,0.0,0
9,9,Marie Bloomer,RT @JamaicaSussex: @CiciTee1 @FrodoKolo Nice try #princewilliamaffair https://t.co/ejR2pg1jp0,nice princewilliamaffair,93,24,2,8,42.15,0.0,26.3,73.7,1
10,10,Marie Bloomer,"RT @Lailaine0815: @Purify_toast17 Wow, that’s poignant and so very sad and mean spirited BUT it makes sense coming from #PrinceWilliamAffai…",toast poignant mean spirit make sense come princewilliamaffai,140,61,8,20,17.79,0.0,80.5,19.5,1
11,11,Supernatural TV show fan,"RT @jared_secret: I will continue to drag that trash ass degenerate “royal” family! 

#PrinceAndrewTrial 
#PrinceWilliamAffair 
#PrinceChar…",secret continue drag trash degenerate royal family princeandrewtrial princewilliamaffair princechar,140,99,10,16,-22.63,17.4,82.6,0.0,0
