,word,freq,compound,neg,neu,pos,st,subjectivity,polarity
0,princewilliamaffair,27,0.0,0.0,100.0,0.0,2,0.0,0.0
1,princeandrew,9,0.0,0.0,100.0,0.0,2,0.0,0.0
2,family,8,0.0,0.0,100.0,0.0,2,0.0,0.0
3,royal,7,0.0,0.0,100.0,0.0,2,0.0,0.0
4,princeandrewtrial,7,0.0,0.0,100.0,0.0,2,0.0,0.0
5,secret,6,0.0,0.0,100.0,0.0,2,0.7,-0.4
6,princeandrewsued,5,0.0,0.0,100.0,0.0,2,0.0,0.0
7,make,4,0.0,0.0,100.0,0.0,2,0.0,0.0
8,trash,4,0.0,0.0,100.0,0.0,2,0.0,0.0
9,time,4,0.0,0.0,100.0,0.0,2,0.0,0.0
10,news,4,0.0,0.0,100.0,0.0,2,0.0,0.0
11,know,4,0.0,0.0,100.0,0.0,2,0.0,0.0
12,need,3,0.0,0.0,100.0,0.0,2,0.0,0.0
13,british,3,0.0,0.0,100.0,0.0,2,0.0,0.0
14,dailyfail,3,0.0,0.0,100.0,0.0,2,0.0,0.0
15,prince,3,0.0,0.0,100.0,0.0,2,0.0,0.0
16,trend,3,0.0,0.0,100.0,0.0,2,0.0,0.0
17,woman,3,0.0,0.0,100.0,0.0,2,0.0,0.0
18,harry,3,0.0,0.0,100.0,0.0,2,0.0,0.0
19,good,3,44.04,0.0,0.0,100.0,1,0.6000000000000001,0.7
20,andrew,3,0.0,0.0,100.0,0.0,2,0.0,0.0
21,work,2,0.0,0.0,100.0,0.0,2,0.0,0.0
22,father,2,0.0,0.0,100.0,0.0,2,0.0,0.0
23,security,2,34.0,0.0,0.0,100.0,1,0.0,0.0
24,adore,2,55.74,0.0,0.0,100.0,1,0.0,0.0
25,princewillia,2,0.0,0.0,100.0,0.0,2,0.0,0.0
26,distraction,2,-38.18,100.0,0.0,0.0,0,0.0,0.0
27,gurl,2,0.0,0.0,100.0,0.0,2,0.0,0.0
28,print,2,0.0,0.0,100.0,0.0,2,0.0,0.0
29,sussex,2,0.0,0.0,100.0,0.0,2,0.0,0.0
30,continue,2,0.0,0.0,100.0,0.0,2,0.0,0.0
31,drag,2,-22.63,100.0,0.0,0.0,0,0.07083333333333333,-0.1
32,degenerate,2,0.0,0.0,100.0,0.0,2,0.0,0.0
33,princechar,2,0.0,0.0,100.0,0.0,2,0.0,0.0
34,bot,2,0.0,0.0,100.0,0.0,2,0.0,0.0
35,leak,2,-34.0,100.0,0.0,0.0,0,0.0,0.0
36,start,2,0.0,0.0,100.0,0.0,2,0.0,0.0
37,racistroyalfamily,2,0.0,0.0,100.0,0.0,2,0.0,0.0
38,try,2,0.0,0.0,100.0,0.0,2,0.0,0.0
39,lawn,2,0.0,0.0,100.0,0.0,2,0.0,0.0
40,true,2,42.15,0.0,0.0,100.0,1,0.65,0.35
41,like,2,36.120000000000005,0.0,0.0,100.0,1,0.0,0.0
42,lie,2,0.0,0.0,100.0,0.0,2,0.0,0.0
43,decision,2,0.0,0.0,100.0,0.0,2,0.0,0.0
44,meghan,2,0.0,0.0,100.0,0.0,2,0.0,0.0
45,scandal,2,-44.04,100.0,0.0,0.0,0,0.0,0.0
46,rise,2,0.0,0.0,100.0,0.0,2,0.0,0.0
47,hanbury,2,0.0,0.0,100.0,0.0,2,0.0,0.0
48,reason,2,0.0,0.0,100.0,0.0,2,0.0,0.0
49,ounce,1,0.0,0.0,100.0,0.0,2,0.0,0.0
50,charisma,1,0.0,0.0,100.0,0.0,2,0.0,0.0
51,brain,1,0.0,0.0,100.0,0.0,2,0.0,0.0
52,cell,1,0.0,0.0,100.0,0.0,2,0.0,0.0
53,ethic,1,0.0,0.0,100.0,0.0,2,0.0,0.0
54,human,1,0.0,0.0,100.0,0.0,2,0.1,0.0
55,decency,1,0.0,0.0,100.0,0.0,2,0.0,0.0
56,prop,1,0.0,0.0,100.0,0.0,2,0.0,0.0
57,title,1,0.0,0.0,100.0,0.0,2,0.0,0.0
58,proximity,1,0.0,0.0,100.0,0.0,2,0.0,0.0
59,throne,1,0.0,0.0,100.0,0.0,2,0.0,0.0
60,derangers,1,0.0,0.0,100.0,0.0,2,0.0,0.0
61,harp,1,0.0,0.0,100.0,0.0,2,0.0,0.0
62,kate,1,0.0,0.0,100.0,0.0,2,0.0,0.0
63,duchess,1,0.0,0.0,100.0,0.0,2,0.0,0.0
64,cambridge,1,0.0,0.0,100.0,0.0,2,0.0,0.0
65,princecharlecashforhonours,1,0.0,0.0,100.0,0.0,2,0.0,0.0
66,deadbeat,1,0.0,0.0,100.0,0.0,2,0.0,0.0
67,stop,1,-29.599999999999998,100.0,0.0,0.0,0,0.0,0.0
68,future,1,0.0,0.0,100.0,0.0,2,0.125,0.0
69,king,1,0.0,0.0,100.0,0.0,2,0.0,0.0
70,uncle,1,0.0,0.0,100.0,0.0,2,0.0,0.0
71,noncy,1,0.0,0.0,100.0,0.0,2,0.0,0.0
72,draw,1,0.0,0.0,100.0,0.0,2,0.0,0.0
73,scumbags,1,0.0,0.0,100.0,0.0,2,0.0,0.0
74,year,1,0.0,0.0,100.0,0.0,2,0.0,0.0
75,fafo,1,0.0,0.0,100.0,0.0,2,0.0,0.0
76,racist,1,-61.24000000000001,100.0,0.0,0.0,0,0.0,0.0
77,pedophile,1,0.0,0.0,100.0,0.0,2,0.0,0.0
78,scamsters,1,0.0,0.0,100.0,0.0,2,0.0,0.0
79,gleefully,1,0.0,0.0,100.0,0.0,2,0.0,0.0
80,targetted,1,0.0,0.0,100.0,0.0,2,0.0,0.0
81,inno,1,0.0,0.0,100.0,0.0,2,0.0,0.0
82,abolishthemonarchy,1,0.0,0.0,100.0,0.0,2,0.0,0.0
83,kkkate,1,0.0,0.0,100.0,0.0,2,0.0,0.0
84,flowy,1,0.0,0.0,100.0,0.0,2,0.0,0.0
85,skirt,1,0.0,0.0,100.0,0.0,2,0.0,0.0
86,wear,1,0.0,0.0,100.0,0.0,2,0.0,0.0
87,underneath,1,0.0,0.0,100.0,0.0,2,0.0,0.0
88,wind,1,0.0,0.0,100.0,0.0,2,0.0,0.0
89,anyways,1,0.0,0.0,100.0,0.0,2,0.0,0.0
90,botox,1,0.0,0.0,100.0,0.0,2,0.0,0.0
91,tire,1,0.0,0.0,100.0,0.0,2,0.0,0.0
92,false,1,0.0,0.0,100.0,0.0,2,0.6,-0.4000000000000001
93,information,1,0.0,0.0,100.0,0.0,2,0.0,0.0
94,palace,1,0.0,0.0,100.0,0.0,2,0.0,0.0
95,statement,1,0.0,0.0,100.0,0.0,2,0.0,0.0
96,stuff,1,0.0,0.0,100.0,0.0,2,0.0,0.0
97,page,1,0.0,0.0,100.0,0.0,2,0.0,0.0
98,regard,1,0.0,0.0,100.0,0.0,2,0.0,0.0
99,mind,1,0.0,0.0,100.0,0.0,2,0.0,0.0
100,busines,1,0.0,0.0,100.0,0.0,2,0.0,0.0
101,forget,1,-22.63,100.0,0.0,0.0,0,0.0,0.0
102,nice,1,42.15,0.0,0.0,100.0,1,1.0,0.6
103,toast,1,0.0,0.0,100.0,0.0,2,0.0,0.0
104,poignant,1,0.0,0.0,100.0,0.0,2,0.5,0.0
105,mean,1,0.0,0.0,100.0,0.0,2,0.6875,-0.3125
106,spirit,1,17.79,0.0,0.0,100.0,1,0.0,0.0
107,sense,1,0.0,0.0,100.0,0.0,2,0.0,0.0
108,come,1,0.0,0.0,100.0,0.0,2,0.0,0.0
109,princewilliamaffai,1,0.0,0.0,100.0,0.0,2,0.0,0.0
110,abberton,1,0.0,0.0,100.0,0.0,2,0.0,0.0
111,really,1,0.0,0.0,100.0,0.0,2,0.2,0.2
