,user_name,date,text,hashtags,source
0,휴닝바히에 베스트 걸,30/01/2022 5:52,"RT @mayorasiako: Sa mga political and even spiritual advisors ni Sen. Manny, may God grants you wisdom sa pag-advise.

Sen. Manny, you can…",,Twitter for Android
1,휴닝바히에 베스트 걸,30/01/2022 5:51,RT @alexohph: Me after watching Manny Pacquiao #BoyAbundaInterviewsMANNY https://t.co/1ytT55kWNf,['BoyAbundaInterviewsMANNY'],Twitter for Android
2,휴닝바히에 베스트 걸,30/01/2022 5:50,"RT @gredespiritu: Boy Abunda trying his best also to lead Manny to more sensible answers.

Manny, sayang effort and pera. I believe you are…",,Twitter for Android
3,🇵🇭 Karen D. Santos 🦄 ❤💚,30/01/2022 0:32,"RT @AtheeHeureux27: Manny Pacquiao is one of the GREATEST FILIPINO ATHLETE. PERIOD!
🇵🇭🥊

#BoyAbundaInterviews #BoyAbundaInterviewsMANNY","['BoyAbundaInterviews', 'BoyAbundaInterviewsMANNY']",Twitter for Android
4,Leslie Summer,29/01/2022 12:23,"To whoever convinced Manny Pacquiao to run, damn you! He’s our hero. He’s our boxing champ. You knew damn well that he’s not cut out for presidency. Now, he’s becoming the laughingstock of the country that he proudly represented before. 😭

#BoyAbundaInterviewsMANNY",,Twitter for iPhone
0,HelloPoCrush,01/02/2022 15:35,"RT @PangsNgBuhayMo: #BoyAbundaInterviewsLENI

Kahit lagi mag butt in si Tito Boy, never nag stutter si VP @lenirobredo, bakit? She's sponta…",['BoyAbundaInterviewsLENI'],Twitter for Android
1,Rabbitutero,01/02/2022 15:34,"RT @PangsNgBuhayMo: #BoyAbundaInterviewsLENI

Kahit lagi mag butt in si Tito Boy, never nag stutter si VP @lenirobredo, bakit? She's sponta…",['BoyAbundaInterviewsLENI'],Twitter for Android
2,♈🅰️LLERY👊🏽✌️(BBMSARA),01/02/2022 9:28,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
3,Ako'y Pobreng Alindahaw,01/02/2022 8:08,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter Web App
4,pen💍,01/02/2022 7:53,"RT @GraceEverlast: @Disisyiti ""STUPID is Forever!"" ~Accdg to SenMDS 

#BBMSARA2022  BoboALERT 
#NoToLeniKiko2022 
#LeniTangaSaLahat 
#BoyAb…","['BBMSARA2022', 'NoToLeniKiko2022', 'LeniTangaSaLahat']",Twitter for Android
