,user_name,date,text,hashtags,source
0,Tom,2022-02-06 07:51:50,"@soAWESOMEDREY @aiiemxham @theadtan @bongbongmarcos Haha someone took the bait. Hello youtube source? Wala ka rin ba diploma ne, post ka, harvard gamitin mo, oops 🤣🤭",,Twitter for iPhone
1,🇵🇭✌️❤️BeiMax💚👊🇵🇭,2022-02-06 07:50:46,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
2,Sang'gre Alena || semi-hiatus🧜‍♀️,2022-02-06 07:39:10,RT @nicolelamorena_: Just saw this post on FB ☺️. Our Municipal Mayor here in Paniqui along with the SB members show their support to the c…,,Twitter Web App
3,Sang'gre Alena || semi-hiatus🧜‍♀️,2022-02-06 07:36:32,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter Web App
4,Marichu0818,2022-02-06 07:31:06,"@Justinearljill6 @nia_seisjotas @bongbongmarcos @indaysara Here's a mini poem for you @bongbongmarcos @indaysara 

Be our hope. 
Be our light. 
Make our nation great 
Shine so bright
All of us are behind u
Rest assured that we    are rooting for you.
All UNITEAM Supporters, this is our fight 

UNITEAM
#ParaSaBayan
#BBMSARA2022",,Twitter for Android
5,Marichu0818,2022-02-06 07:30:07,"RT @Justinearljill6: Here's a mini poem for you @bongbongmarcos @indaysara 

Be our hope. 
Be our light. 
Make our nation great 
Shine so b…",,Twitter for Android
6,Yahoo Philippines,2022-02-06 07:30:00,@COMELEC @bongbongmarcos #ICYMI: COMELEC is not new to these issues. Shouldn’t the commission have a better grip in handling cases like these by now?,['ICYMI'],Twitter Web App
7,danny chan,2022-02-06 07:28:04,@KimIndar @bongbongmarcos And this ad backfired big time sa mga fink !,,Twitter for iPad
8,Anita Detablan,2022-02-06 07:23:47,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
9,Daddy’s Girl,2022-02-06 07:23:36,"@BingCatRocks @onepiecetsiken @ravenandnicole @bongbongmarcos As they say, girls of the same feather, like bigotes forever 😜 https://t.co/HhP4B3DOU9",,Twitter for iPhone
10,sophia✨,2022-02-06 07:23:25,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
11,Dolores / ᴹᴬᴵᴺᴱ/ᴬʳᴹᴸ💟ᵛᵉʳˢ ᴳʳᵒᵘᵖ²,2022-02-06 07:22:29,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
12,Kenneth69,2022-02-06 07:09:35,RT @nicolelamorena_: Just saw this post on FB ☺️. Our Municipal Mayor here in Paniqui along with the SB members show their support to the c…,,Twitter for Android
13,An admirer of JPR (The real PHL hero),2022-02-06 07:06:18,"RT @Mainej29: Thank you Baste! :) @bongbongmarcos @pinoyanghang @KimIndar @amigoManila @indaysara
@DuterteSara @Disisyiti @IHateFakePple @I…",,Twitter for Android
14,aseret_ocampo,2022-02-06 07:03:49,"RT @Mainej29: Thank you Baste! :) @bongbongmarcos @pinoyanghang @KimIndar @amigoManila @indaysara
@DuterteSara @Disisyiti @IHateFakePple @I…",,Twitter for iPhone
15,Daddy’s Girl,2022-02-06 06:57:15,@onepiecetsiken @ravenandnicole @bongbongmarcos Shouldn’t come as a surprise. Eh pareho lang naman silang “May-I-borrow-your-husband”ni Nanay.,,Twitter for iPhone
16,Jaeson Velasco 🍥,2022-02-06 06:53:58,"Did the FDA ever refer to this study with their findings? Their report says otherwise.
@dominicalmelor @persidaacosta
If they cite ""millions"" vaccinated, why not this?
@FDAPhilippines @DOHgovph @bongbongmarcos @IskoMoreno @SenImeeMarcos @SAPBongGo @sotto_tito @MikeDefensor https://t.co/XuEes11C3P",,Twitter for Android
17,AyLyn,2022-02-06 06:53:11,@bongbongmarcos Good service 🤗 and thanks for D info. 📢,,Twitter for Android
18,DZRH NEWS,2022-02-06 06:50:19,"ICYMI: After skipping KBP, @bongbongmarcos seen in interview with TV host Korina Sanchez. https://t.co/uuw8t7KWjO #Desisyon2022",['Desisyon2022'],TweetDeck
19,Rev,2022-02-06 06:49:54,RT @onepiecetsiken: Because Gretta is supporting @bongbongmarcos 😹😹😹 https://t.co/Ft4X5Azwoc,,Twitter for Android
20,Fatima Saromandang,2022-02-06 06:43:02,RT @nicolelamorena_: Just saw this post on FB ☺️. Our Municipal Mayor here in Paniqui along with the SB members show their support to the c…,,Twitter for Android
21,Ruffy,2022-02-06 06:37:41,@KimIndar @bongbongmarcos The more BBM is pushed down. The more he goes up. Its getting difficult to go near his tailend. He goes farther.,,Twitter for iPhone
22,MJ🦄🏳️‍🌈,2022-02-06 06:37:19,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
23,theresa jamandre,2022-02-06 06:36:06,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
24,theresa jamandre,2022-02-06 06:35:28,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
25,ritzchelean,2022-02-06 06:35:19,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
26,yen11763,2022-02-06 06:34:52,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
27,はら 原,2022-02-06 06:32:24,RT @onepiecetsiken: Because Gretta is supporting @bongbongmarcos 😹😹😹 https://t.co/Ft4X5Azwoc,,Twitter for Android
28,Angel eye,2022-02-06 06:30:45,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
29,mstraveler is Kakampink with Common Sense!,2022-02-06 06:28:52,@sanadosally @TrillanesSonny I will give this credit to Sen. Marcos- he is polite. I wonder what he says about unpolished people like you supporting him? @bongbongmarcos,,Twitter for iPhone
30,Frosty,2022-02-06 06:27:08,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter Web App
31,GOLD SHINOBI,2022-02-06 06:23:46,RT @FhqJackie: I thought mga baby boomers lang ang tumatangkilik kay BBM😅 Was surprised to know so many youths are rooting for BBM pala❤ Lo…,,Twitter for Android
32,Ana Lina Barome,2022-02-06 06:08:45,"@KimIndar @bongbongmarcos Yes!!

Thanks sa free ad.",,Twitter for Android
33,PH Loyalist ver. 2.0,2022-02-06 06:08:31,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for iPhone
34,cj bautista,2022-02-06 06:02:27,"@inquirerdotnet STOP. PEDDLING. LIES

NO to @bongbongmarcos 
NO to #MarcosNumber1Sinungaling
NO to #MarcosDuwagTalaga 
NO to #MarcosDuwagParin https://t.co/eWRvheDAF0",['MarcosNumber1Sinungaling'],Twitter Web App
35,Kitty,2022-02-06 05:53:59,RT @nicolelamorena_: Just saw this post on FB ☺️. Our Municipal Mayor here in Paniqui along with the SB members show their support to the c…,,Twitter for Android
36,Lord Lucilfer,2022-02-06 05:53:41,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
37,Stacey,2022-02-06 05:50:25,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for iPhone
38,Dennis Ocuaman,2022-02-06 05:48:52,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for Android
39,Dylan,2022-02-06 05:48:13,@RainySanz @theadtan @bongbongmarcos How about empty brain Lenlen?,,Twitter for Android
40,Volte Wisely,2022-02-06 05:43:13,"@onepiecetsiken @bongbongmarcos WHY is Marjorie even relevant?
She was nowhere close to the stardom her sisters Gretchen and Claudine had, even at her prime. 🙄",,Twitter for iPad
41,❤thekalyetimes💚,2022-02-06 05:36:13,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
42,Marigay Valerio,2022-02-06 05:34:17,RT @Ann73248187: @bongbongmarcos @DuterteSara UNITED AS ONE #WeAreForBBMSARA ❤️💚,['WeAreForBBMSARA'],Twitter for iPad
43,en-el ❤️💚,2022-02-06 05:30:37,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
44,Marigay Valerio,2022-02-06 05:29:56,RT @theadtan: Bongbong Marcos @bongbongmarcos promises to give his all-out support to the Filipino workers and MSMEs. #BBMSARA2022 https://…,['BBMSARA2022'],Twitter for iPad
45,Bonbee lei,2022-02-06 05:27:53,RT @Ann73248187: @bongbongmarcos @DuterteSara UNITED AS ONE #WeAreForBBMSARA ❤️💚,['WeAreForBBMSARA'],Twitter for Android
46,Akkin Herico,2022-02-06 05:27:00,"@bongbongmarcos We are here all the way sir❤✌
Ikaw po ang presidente ko❤✌❤✌",,Twitter for Android
47,Norma,2022-02-06 05:26:11,"RT @KimIndar: BBM is so cute here. He just won the heart of the service workers. Thanks Kakampinks!✌😍✌#Halalan2022 
@bongbongmarcos https:/…",['Halalan2022'],Twitter for Android
