,user_name,date,text,hashtags,source
0,Amy,2022-03-05 03:39:12,"RT @nexta_tv: ⚡️Russian Senator Lyudmila Narusova acknowledged huge losses of the #Russian army

""Yesterday the conscripts, who were forced…",['Russian'],Twitter for Android
1,Cathy Orcutt,2022-03-05 03:39:12,"RT @lifesafeast: After we remove Russian vodka from liquor stores, cut off Amazon deliveries, freeze banking assets, confiscate property &amp;…",,Twitter for Android
2,totozilla 🥺🍼🍼🍫,2022-03-05 03:39:11,RT @mjluxmoore: Looks like the whole of Novopskov in eastern Ukraine has come out to tell the bedraggled Russian soldiers occupying the tow…,,Twitter for Android
3,Alex Costova,2022-03-05 03:39:11,@luisamachado77 @shaunwalker7 Last I spoke with her she fully believed that Ukraine was attacking Russia. I fear if I try to change her mind she could get in trouble. I don't know what to say to her other than I hope she is safe &amp; that I love her. I feel so helpless being a Russian living in America now.,,Twitter for Android
4,Michael👑,2022-03-05 03:39:11,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,,Twitter for iPhone
5,Phillipa Coleman,2022-03-05 03:39:11,"RT @GrayConnolly: These people are certifiable.
Trump lost his account for mean tweets.
These guys want the Russian President assassinated.",,Twitter for iPhone
6,Leslie Ebersole,2022-03-05 03:39:11,"@chrislance33 @ericgarland @chrislance33 either you’re you’re a Russian propagandist or you’ve jumped on a Kremlin-funded faux-leftist bandwagon. 

https://t.co/DspceVmYFA",,Twitter for iPhone
7,Alexis Dix,2022-03-05 03:39:11,RT @thehill: Russian oil company calls for peace in Ukraine in break with Putin https://t.co/GmUkBzq1ZA https://t.co/iUhyZhltc5,,Twitter for Android
8,Kemal Evans,2022-03-05 03:39:11,@EA The innocent people of Ukraine are being punished for a situation created by the US government and NATO.  The 19 bioweapon labs in Ukraine and NATO is why Russia attacked.  Now you're going to punish Russian kids for the reaction of their government? Ridiculous. Donate $ instead.,,Twitter for Android
9,Andy,2022-03-05 03:39:11,"@Athenas_Son_V Good, to this day the Russian Olympic committee has yet to come clean on doping.",,Twitter for iPhone
10,Elkhorn Inn - Elisse,2022-03-05 03:39:11,"RT @SkyAndyHughes: Everyone should watch this. Sky News team comes under fire from Russian forces in Kyiv, despite making it clear they’re…",,Twitter Web App
11,beli sadiku,2022-03-05 03:39:11,RT @AVindman: The defeatism is astounding… and consistent. These same conclusions were forecasted 10 days ago. I judge Kyiv will stand. The…,,Twitter for iPhone
12,M E,2022-03-05 03:39:11,RT @Reuters: The U.S. and its allies criticized Russia at the U.N. over its shelling and seizure in Ukraine of Europe's biggest nuclear pow…,,Twitter for Android
13,Jitterbugmom,2022-03-05 03:39:10,RT @caslernoel: Instead of banning the non-existent teaching CRT in Kentucky schools they should have banned investing their teachers pensi…,,Twitter for iPad
14,carol gumbo,2022-03-05 03:39:10,RT @RandyRRQuaid: It’s unAmerican for an American president to make Americans sit by and watch genocide that America is funding because he…,,Twitter Web App
15,Hyhshs,2022-03-05 03:39:10,"@Jon_Alper @oryxspioenkop most likely maybe 1-2. They lack time, space and knowledge to repair russian stuff.",,Twitter Web App
16,The Wall Street Bull v.2022,2022-03-05 03:39:10,"RT @p0ppyfield: Disabled people in Russia are unable to get their normal life saving medications due to sanctions.
A Russian friend’s daugh…",,Twitter for iPhone
17,Danielle Lamphier,2022-03-05 03:39:10,"RT @catherine_lucey: People around the world have booked over 60,000 nights in Ukrainian Airbnbs as a way to get aid to residents during th…",,Twitter for iPhone
18,Arielle,2022-03-05 03:39:10,RT @privatefigure_: Russian soldier getting showed more love in Ukraine than innocent African students.,,Twitter for iPhone
19,JessiBia,2022-03-05 03:39:10,RT @ABC: Ukrainian Pres. Volodymyr Zelenskyy gave an urgent plea for intervention after officials said Russian troops shelled Ukraine's lar…,,Twitter for Android
20,Kathleen Stratton,2022-03-05 03:39:10,"RT @natemook: Today I met Natalia &amp; her daughter Miraslava at the train station in Lviv, Ukraine. They just arrived from Zaporizhzhia, wher…",,Twitter Web App
21,Shawn Kerwin,2022-03-05 03:39:09,"RT @AJEnglish: Russia-Ukraine war: 4 March updates ⤵️

Ukrainian president Zelenskyy urges Russian president Putin to sit down for talks, a…",,Twitter for iPhone
22,NAMASTE,2022-03-05 03:39:09,"RT @mikegalsworthy: Putin is going to find it difficult to arrest all these people with his jails overflowing.

Well done, brave Russian pe…",,Twitter for iPhone
23,Asterix de Gaulle,2022-03-05 03:39:09,RT @Oneindia: Watch: Russian Defense Ministry releases video of 'Aidar' battalion post destruction by drone strike  https://t.co/UrKGlPO5sb…,,Twitter Web App
24,Chris J Beaty,2022-03-05 03:39:09,RT @washingtonpost: Russian forces seized a massive nuclear power plant in southeastern Ukraine on Friday as they continued their siege of…,,Twitter for Android
25,Zuben,2022-03-05 03:39:09,"RT @kamilkazani: Russian economy is super fragile. It's critically dependent upon the:

1. Export of natural resources
2. Technological imp…",,Twitter Web App
26,sungirl793,2022-03-05 03:39:09,"RT @ChuckCallesto: BREAKING REPORT: Keystone Pipeline Would Have Delivered 830,000 BARRELS OF OIL PER DAY to US — More than Current Daily R…",,Twitter for iPhone
27,⚜️ sarah 🧜🏻‍♀️,2022-03-05 03:39:09,"RT @SkyAndyHughes: Everyone should watch this. Sky News team comes under fire from Russian forces in Kyiv, despite making it clear they’re…",,Twitter Web App
28,SirynSays #sexworkiswork & #BLM,2022-03-05 03:39:09,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,,Twitter for Android
