text,labeled,sentiment
 Get fucking real dude. ?? ??,cyberbully,0
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,cyberbully,0
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,cyberbully,0
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,cyberbully,0
 WTF are you talking about Men? No men thats not a menage  that's just gay.,cyberbully,0
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,cyberbully,0
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,cyberbully,0
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,cyberbully,0
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",not cybercrime,1
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,not cybercrime,1
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,not cybercrime,1
Shakespeare nerd!,cyberbully,0
you are SUCH a fucking dork,cyberbully,0
Heh. Fuck 'em WHERE?!?,cyberbully,0
damn it i totally forgot that one!,cyberbully,0
wow  damn I would have been pissed @ that...,cyberbully,0
nigga u geigh lmao! fuck yo finals beeeeeitch,not cybercrime,1
that sucks :(,cyberbully,0
"read that this morning. my fav is how they just straight up say ""cum shots""",not cybercrime,1
Unibroue not cybercrime7 !!!! Another damn good Unibroue,not cybercrime,1
damn your evil 60 minute IPA beckoning me from the fridge right now...,cyberbully,0
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,cyberbully,0
it pretty much is a fuck you card..,cyberbully,0
that karma is a bitch  HUH,cyberbully,0
don't get too fat or you'll turn into a boomer,not cybercrime,1
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,cyberbully,0
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,not cybercrime,1
man that rly sucks. I for not cybercrime am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,not cybercrime,1
hard to kick ass yourself with slippers on?  On it.,cyberbully,0
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,not cybercrime,1
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,not cybercrime,1
Damn  that sounds good...,not cybercrime,1
they should have a wii loser..that way you can compete with your wii friends.,cyberbully,0
@markmancao haha. i love it! gay nights for all!,not cybercrime,1
that's awesome! you're pretty damn good!,not cybercrime,1
Faggoty fag fag. Gay secks man blowjob. Settle down.,cyberbully,0
Right. That wouldn't be creepy as fuck.,cyberbully,0
HOLY SHIT. Fuck that band.,cyberbully,0
Gay fag.,cyberbully,0
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,cyberbully,0
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,not cybercrime,1
and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,not cybercrime,1
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,cyberbully,0
"where'd ya put it? o btw: ""kick ass quote Copyright&#not cybercrime69; 2009 @abcd9not cybercrime All Rights Reserved""",not cybercrime,1
It sucks to be done with exams n still be @ Mayag.,cyberbully,0
Epic WINS for Fuck City&lt;3,not cybercrime,1
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,cyberbully,0
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,not cybercrime,1
fuck yes.  I hate them at work...,cyberbully,0
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,cyberbully,0
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,cyberbully,0
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,not cybercrime,1
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,not cybercrime,1
damn.  did you buy bitchy too?,cyberbully,0
then by all means  bitch away! haha.,cyberbully,0
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,not cybercrime,1
Let that pussy freeze. Rotten bitey little bastard.,cyberbully,0
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,cyberbully,0
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,not cybercrime,1
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,cyberbully,0
imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,cyberbully,0
Ugh  twitter stop it  you fucking slut.,cyberbully,0
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,cyberbully,0
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,not cybercrime,1
Fuck the pics! @giove_dea WE WANT VIDS!!,cyberbully,0
Hard to play because it is damn fucking awful,cyberbully,0
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,cyberbully,0
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,cyberbully,0
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,cyberbully,0
"you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",cyberbully,0
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,not cybercrime,1
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,cyberbully,0
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,cyberbully,0
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,cyberbully,0
"there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",cyberbully,0
I got it. How many damn websites do u have homie! Sheesh!,cyberbully,0
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,cyberbully,0
 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,cyberbully,0
haris i m trying to control my fat tummy did'nt eat from 2 days :D,not cybercrime,1
700. you glutinous bitch!,cyberbully,0
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),cyberbully,0
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,not cybercrime,1
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,cyberbully,0
Have you tried 'fuck' and 'Fuck'? (yes  they are different),cyberbully,0
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,not cybercrime,1
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,cyberbully,0
that sucks... she should prolly just change her major lol,cyberbully,0
that sucks... so are there plans to get back together? or are they done?,cyberbully,0
you are a fatty fat fat,not cybercrime,1
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,cyberbully,0
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,cyberbully,0
no one likes every fat snack u do bitch! so shaddup ahahahahaha,cyberbully,0
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,cyberbully,0
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,not cybercrime,1
Night Guy' is ALL motivated @ not cybercrimenot cybercrimepm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,cyberbully,0
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),cyberbully,0
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,not cybercrime,1
"lol @ ""the bitch"". damn.",cyberbully,0
